Origin_ID;Origin_NAME;Origin_LAT;Origin_LNG;Destin_ID;Destin_NAME;Destin_LAT;Destin_LNG;Count;;;;;
76109;BUENAVENTURA;3.875474;-77.011536;11001;BOGOTÁ, D.C.;4.650528;-74.105972;47340;;;;;
54810;TIBÚ;8.639718;-72.735919;54001;CÚCUTA;7.905267;-72.505591;33314;;;;;
13244;EL CARMEN DE BOLÍVAR;9.718034;-75.121139;70001;SINCELEJO;9.300455;-75.395996;23896;;;;;
27615;RIOSUCIO;7.433383;-77.11111;5837;TURBO;8.094097;-76.726432;23058;;;;;
27099;BELLAVISTA;6.569004;-76.895089;27001;SAN FRANCISCO DE QUIBDO;5.692349;-76.651125;22835;;;;;
76109;BUENAVENTURA;3.875474;-77.011536;76001;SANTIAGO DE CALI;3.417587;-76.522332;19325;;;;;
47980;PRADO - SEVILLA;10.763895;-74.139233;47001;SANTA MARTA;11.225703;-74.188397;19072;;;;;
19256;EL TAMBO;2.452236;-76.810812;19001;POPAYÁN;2.447699;-76.624469;17623;;;;;
5649;SAN CARLOS;6.187976;-74.993002;5001;MEDELLÍN;6.248941;-75.577056;15761;;;;;
70204;RICAURTE (COLOSO);9.490997;-75.356088;70001;SINCELEJO;9.300455;-75.395996;15534;;;;;
5234;DABEIBA;7.000034;-76.262974;5001;MEDELLÍN;6.248941;-75.577056;15453;;;;;
5045;APARTADÓ;7.882717;-76.626186;5001;MEDELLÍN;6.248941;-75.577056;15433;;;;;
5313;GRANADA;6.141374;-75.187973;5001;MEDELLÍN;6.248941;-75.577056;14283;;;;;
23807;TIERRALTA;8.172247;-76.062317;23001;MONTERÍA;8.746423;-75.876635;14081;;;;;
47189;CIÉNAGA;11.007433;-74.241368;47001;SANTA MARTA;11.225703;-74.188397;13751;;;;;
47288;FUNDACIÓN;10.514851;-74.191555;47001;SANTA MARTA;11.225703;-74.188397;13675;;;;;
13244;EL CARMEN DE BOLÍVAR;9.718034;-75.121139;13001;CARTAGENA DE INDIAS;10.398816;-75.501229;13671;;;;;
47551;PIVIJAY;10.461344;-74.615396;47001;SANTA MARTA;11.225703;-74.188397;13133;;;;;
5847;URRAO;6.314001;-76.13224;5001;MEDELLÍN;6.248941;-75.577056;12744;;;;;
27615;RIOSUCIO;7.433383;-77.11111;5045;APARTADÓ;7.882717;-76.626186;12552;;;;;
5837;TURBO;8.094097;-76.726432;5001;MEDELLÍN;6.248941;-75.577056;12371;;;;;
5361;ITUANGO;7.171623;-75.764167;5001;MEDELLÍN;6.248941;-75.577056;11539;;;;;
70508;OVEJAS;9.525986;-75.228808;70001;SINCELEJO;9.300455;-75.395996;11438;;;;;
5837;TURBO;8.094097;-76.726432;5045;APARTADÓ;7.882717;-76.626186;11354;;;;;
50711;VISTAHERMOSA;3.127717;-73.751279;50001;VILLAVICENCIO;4.122958;-73.626878;11124;;;;;
19050;ARGELIA;2.25555;-77.249075;19001;POPAYÁN;2.447699;-76.624469;10902;;;;;
19100;BOLÍVAR;1.837563;-76.966757;19001;POPAYÁN;2.447699;-76.624469;10714;;;;;
13442;MARÍA LA BAJA;9.985133;-75.303201;13001;CARTAGENA DE INDIAS;10.398816;-75.501229;10571;;;;;
70713;SAN ONOFRE;9.736821;-75.525562;70001;SINCELEJO;9.300455;-75.395996;10046;;;;;
18150;CARTAGENA DEL CHAIRÁ;1.334347;-74.84462;18001;FLORENCIA;1.617334;-75.60689;9973;;;;;
73168;CHAPARRAL;3.725761;-75.483582;11001;BOGOTÁ, D.C.;4.650528;-74.105972;9900;;;;;
52835;TUMACO;1.761334;-78.781544;76001;SANTIAGO DE CALI;3.417587;-76.522332;9860;;;;;
23807;TIERRALTA;8.172247;-76.062317;5147;CAREPA;7.755117;-76.654051;9814;;;;;
70823;TOLÚ VIEJO;9.453703;-75.439516;70001;SINCELEJO;9.300455;-75.395996;9752;;;;;
17662;SAMANÁ;5.413074;-74.99238;11001;BOGOTÁ, D.C.;4.650528;-74.105972;9665;;;;;
13810;PUERTO RICO;8.556467;-74.264788;13430;MAGANGUÉ;9.241367;-74.755668;9617;;;;;
5051;ARBOLETES;8.850602;-76.426683;23001;MONTERÍA;8.746423;-75.876635;9487;;;;;
27615;RIOSUCIO;7.433383;-77.11111;5480;MUTATÁ;7.243963;-76.436705;9418;;;;;
18205;CURILLO;1.033655;-75.920355;18001;FLORENCIA;1.617334;-75.60689;9314;;;;;
5667;SAN RAFAEL;6.29395;-75.02825;5001;MEDELLÍN;6.248941;-75.577056;9137;;;;;
44090;DIBULLA;11.271254;-73.307237;47001;SANTA MARTA;11.225703;-74.188397;9103;;;;;
18753;SAN VICENTE DEL CAGUÁN;2.113418;-74.77196;41001;NEIVA;2.935546;-75.277946;9054;;;;;
47001;SANTA MARTA;11.225703;-74.188397;11001;BOGOTÁ, D.C.;4.650528;-74.105972;8990;;;;;
73217;COYAIMA;3.798477;-75.194142;11001;BOGOTÁ, D.C.;4.650528;-74.105972;8846;;;;;
70713;SAN ONOFRE;9.736821;-75.525562;13001;CARTAGENA DE INDIAS;10.398816;-75.501229;8783;;;;;
20013;AGUSTÍN CODAZZI;10.040365;-73.237431;20001;VALLEDUPAR;10.461893;-73.258517;8600;;;;;
18410;LA MONTAÑITA;1.48833;-75.436147;18001;FLORENCIA;1.617334;-75.60689;8561;;;;;
19418;LÓPEZ;2.845917;-77.248277;76109;BUENAVENTURA;3.875474;-77.011536;8498;;;;;
50325;MAPIRIPÁN;2.892;-72.133249;50001;VILLAVICENCIO;4.122958;-73.626878;8475;;;;;
13160;CANTAGALLO;7.375411;-73.9169;68081;BARRANCABERMEJA;7.067976;-73.846686;8447;;;;;
5893;CASABE;7.002807;-73.910354;68081;BARRANCABERMEJA;7.067976;-73.846686;8424;;;;;
18460;MILÁN;1.290644;-75.50753;18001;FLORENCIA;1.617334;-75.60689;8358;;;;;
27425;BETÉ;5.994026;-76.780862;27001;SAN FRANCISCO DE QUIBDO;5.692349;-76.651125;8324;;;;;
47053;ARACATACA;10.590848;-74.186293;47001;SANTA MARTA;11.225703;-74.188397;8214;;;;;
5172;CHIGORODÓ;7.666156;-76.681565;5001;MEDELLÍN;6.248941;-75.577056;8204;;;;;
25394;LA PALMA;5.358965;-74.390911;11001;BOGOTÁ, D.C.;4.650528;-74.105972;8188;;;;;
73616;RIOBLANCO;3.530214;-75.644684;11001;BOGOTÁ, D.C.;4.650528;-74.105972;7879;;;;;
52835;TUMACO;1.761334;-78.781544;11001;BOGOTÁ, D.C.;4.650528;-74.105972;7849;;;;;
13458;MONTECRISTO;8.29332;-74.475802;13430;MAGANGUÉ;9.241367;-74.755668;7701;;;;;
18860;VALPARAÍSO;1.197615;-75.705366;18001;FLORENCIA;1.617334;-75.60689;7635;;;;;
5197;COCORNÁ;6.057889;-75.185613;5001;MEDELLÍN;6.248941;-75.577056;7610;;;;;
19397;LA VEGA;2.004638;-76.781504;19001;POPAYÁN;2.447699;-76.624469;7606;;;;;
52250;EL CHARCO;2.476974;-78.110298;76001;SANTIAGO DE CALI;3.417587;-76.522332;7596;;;;;
5660;SAN LUIS;6.042865;-74.994392;5001;MEDELLÍN;6.248941;-75.577056;7568;;;;;
47551;PIVIJAY;10.461344;-74.615396;47288;FUNDACIÓN;10.514851;-74.191555;7540;;;;;
18753;SAN VICENTE DEL CAGUÁN;2.113418;-74.77196;18001;FLORENCIA;1.617334;-75.60689;7472;;;;;
73616;RIOBLANCO;3.530214;-75.644684;73001;IBAGUÉ;4.439631;-75.19635;7397;;;;;
13244;EL CARMEN DE BOLÍVAR;9.718034;-75.121139;8001;BARRANQUILLA;10.979459;-74.816835;7254;;;;;
18001;FLORENCIA;1.617334;-75.60689;11001;BOGOTÁ, D.C.;4.650528;-74.105972;7222;;;;;
44090;DIBULLA;11.271254;-73.307237;44001;RIOHACHA;11.529125;-72.912271;7219;;;;;
5483;NARIÑO;5.610996;-75.174921;5001;MEDELLÍN;6.248941;-75.577056;7151;;;;;
5837;TURBO;8.094097;-76.726432;5172;CHIGORODÓ;7.666156;-76.681565;7121;;;;;
18592;PUERTO RICO;1.910181;-75.157857;18001;FLORENCIA;1.617334;-75.60689;7023;;;;;
27025;PIE DE PATO;5.516137;-76.974637;27001;SAN FRANCISCO DE QUIBDO;5.692349;-76.651125;6959;;;;;
5665;SAN PEDRO DE URABÁ;8.278064;-76.382562;23001;MONTERÍA;8.746423;-75.876635;6892;;;;;
18756;SOLANO;0.699161;-75.253344;18001;FLORENCIA;1.617334;-75.60689;6802;;;;;
50590;PUERTO RICO;2.941649;-73.207486;50001;VILLAVICENCIO;4.122958;-73.626878;6787;;;;;
52835;TUMACO;1.761334;-78.781544;52001;SAN JUAN DE PASTO;1.212839;-77.278125;6760;;;;;
86571;PUERTO GUZMÁN;0.963536;-76.408022;18001;FLORENCIA;1.617334;-75.60689;6737;;;;;
86571;PUERTO GUZMÁN;0.963536;-76.408022;86001;MOCOA;1.151519;-76.650874;6723;;;;;
5480;MUTATÁ;7.243963;-76.436705;5001;MEDELLÍN;6.248941;-75.577056;6624;;;;;
54800;TEORAMA;8.437234;-73.286985;54498;OCAÑA;8.246666;-73.355196;6594;;;;;
5001;MEDELLÍN;6.248941;-75.577056;5088;BELLO;6.333786;-75.554448;6486;;;;;
95001;SAN JOSÉ DEL GUAVIARE;2.567205;-72.63969;50001;VILLAVICENCIO;4.122958;-73.626878;6399;;;;;
54720;SARDINATA;8.084234;-72.800061;54001;CÚCUTA;7.905267;-72.505591;6377;;;;;
18610;SAN JOSÉ DEL FRAGUA;1.331726;-75.973662;18001;FLORENCIA;1.617334;-75.60689;6312;;;;;
27615;RIOSUCIO;7.433383;-77.11111;5172;CHIGORODÓ;7.666156;-76.681565;6233;;;;;
81794;TAME;6.457692;-71.740613;81736;SARAVENA;6.953878;-71.873949;6175;;;;;
5490;NECOCLÍ;8.426025;-76.787621;5001;MEDELLÍN;6.248941;-75.577056;6055;;;;;
5313;GRANADA;6.141374;-75.187973;76001;SANTIAGO DE CALI;3.417587;-76.522332;6022;;;;;
18753;SAN VICENTE DEL CAGUÁN;2.113418;-74.77196;11001;BOGOTÁ, D.C.;4.650528;-74.105972;6012;;;;;
27001;SAN FRANCISCO DE QUIBDO;5.692349;-76.651125;11001;BOGOTÁ, D.C.;4.650528;-74.105972;6009;;;;;
19110;BUENOS AIRES;3.016024;-76.642546;19698;SANTANDER DE QUILICHAO;3.011288;-76.485346;5984;;;;;
5837;TURBO;8.094097;-76.726432;5665;SAN PEDRO DE URABÁ;8.278064;-76.382562;5948;;;;;
73067;ATACO;3.591165;-75.382454;11001;BOGOTÁ, D.C.;4.650528;-74.105972;5914;;;;;
68081;BARRANCABERMEJA;7.067976;-73.846686;68001;BUCARAMANGA;7.115901;-73.132537;5892;;;;;
18785;SOLITA;0.872398;-75.620131;18001;FLORENCIA;1.617334;-75.60689;5891;;;;;
23580;PUERTO LIBERTADOR;7.889279;-75.672022;23466;MONTELÍBANO;7.977922;-75.418484;5851;;;;;
5873;VIGÍA DEL FUERTE;6.588794;-76.896348;27001;SAN FRANCISCO DE QUIBDO;5.692349;-76.651125;5840;;;;;
5055;ARGELIA;5.731561;-75.142716;5001;MEDELLÍN;6.248941;-75.577056;5795;;;;;
47745;SITIONUEVO;10.780738;-74.723105;8001;BARRANQUILLA;10.979459;-74.816835;5759;;;;;
86865;LA HORMIGA;0.423385;-76.904734;52001;SAN JUAN DE PASTO;1.212839;-77.278125;5758;;;;;
73555;PLANADAS;3.197021;-75.643784;11001;BOGOTÁ, D.C.;4.650528;-74.105972;5715;;;;;
73504;ORTEGA;3.935056;-75.220794;11001;BOGOTÁ, D.C.;4.650528;-74.105972;5706;;;;;
99773;CUMARIBO;4.444488;-69.798543;50001;VILLAVICENCIO;4.122958;-73.626878;5677;;;;;
5790;TARAZÁ;7.581611;-75.399711;5001;MEDELLÍN;6.248941;-75.577056;5673;;;;;
73483;NATAGAIMA;3.624775;-75.093039;11001;BOGOTÁ, D.C.;4.650528;-74.105972;5672;;;;;
76001;SANTIAGO DE CALI;3.417587;-76.522332;11001;BOGOTÁ, D.C.;4.650528;-74.105972;5657;;;;;
23807;TIERRALTA;8.172247;-76.062317;5045;APARTADÓ;7.882717;-76.626186;5644;;;;;
23855;VALENCIA;8.257266;-76.149909;23001;MONTERÍA;8.746423;-75.876635;5641;;;;;
73624;ROVIRA;4.239483;-75.240683;73001;IBAGUÉ;4.439631;-75.19635;5585;;;;;
5736;SEGOVIA;7.07992;-74.6993;5001;MEDELLÍN;6.248941;-75.577056;5558;;;;;
27001;SAN FRANCISCO DE QUIBDO;5.692349;-76.651125;5001;MEDELLÍN;6.248941;-75.577056;5531;;;;;
54250;EL TARRA;8.577231;-73.094671;54001;CÚCUTA;7.905267;-72.505591;5510;;;;;
19130;CAJIBÍO;2.623031;-76.570386;19001;POPAYÁN;2.447699;-76.624469;5506;;;;;
73675;SAN ANTONIO;3.914292;-75.479651;73001;IBAGUÉ;4.439631;-75.19635;5308;;;;;
5093;BETULIA;6.1091;-75.984191;5001;MEDELLÍN;6.248941;-75.577056;5295;;;;;
20570;PUEBLO BELLO;10.414969;-73.587006;20001;VALLEDUPAR;10.461893;-73.258517;5286;;;;;
5837;TURBO;8.094097;-76.726432;23001;MONTERÍA;8.746423;-75.876635;5274;;;;;
41020;ALGECIRAS;2.522556;-75.315695;41001;NEIVA;2.935546;-75.277946;5254;;;;;
52540;POLICARPA;1.627892;-77.460433;52001;SAN JUAN DE PASTO;1.212839;-77.278125;5218;;;;;
76109;BUENAVENTURA;3.875474;-77.011536;25754;SOACHA;4.576529;-74.215511;5175;;;;;
5138;CAÑASGORDAS;6.749876;-76.024566;5001;MEDELLÍN;6.248941;-75.577056;5114;;;;;
13670;SAN PABLO;7.477475;-73.924558;68081;BARRANCABERMEJA;7.067976;-73.846686;5054;;;;;
5490;NECOCLÍ;8.426025;-76.787621;23001;MONTERÍA;8.746423;-75.876635;5046;;;;;
50711;VISTAHERMOSA;3.127717;-73.751279;11001;BOGOTÁ, D.C.;4.650528;-74.105972;4993;;;;;
47745;SITIONUEVO;10.780738;-74.723105;8758;SOLEDAD;10.90618;-74.793567;4988;;;;;
19075;BALBOA;2.041394;-77.216541;19001;POPAYÁN;2.447699;-76.624469;4893;;;;;
5480;MUTATÁ;7.243963;-76.436705;5045;APARTADÓ;7.882717;-76.626186;4887;;;;;
66594;QUINCHÍA;5.340975;-75.730644;66001;PEREIRA;4.807002;-75.718267;4881;;;;;
19532;EL BORDO;2.113081;-76.985682;19001;POPAYÁN;2.447699;-76.624469;4872;;;;;
70418;LOS PALMITOS;9.380177;-75.268133;70215;COROZAL;9.320684;-75.292023;4867;;;;;
95200;MIRAFLORES;1.336792;-71.95126;50001;VILLAVICENCIO;4.122958;-73.626878;4840;;;;;
86885;VILLAGARZÓN;1.030863;-76.614658;86001;MOCOA;1.151519;-76.650874;4829;;;;;
95025;EL RETORNO;2.330797;-72.627971;95001;SAN JOSÉ DEL GUAVIARE;2.567205;-72.63969;4800;;;;;
47001;SANTA MARTA;11.225703;-74.188397;8001;BARRANQUILLA;10.979459;-74.816835;4796;;;;;
5088;BELLO;6.333786;-75.554448;5001;MEDELLÍN;6.248941;-75.577056;4731;;;;;
5480;MUTATÁ;7.243963;-76.436705;5172;CHIGORODÓ;7.666156;-76.681565;4664;;;;;
70508;OVEJAS;9.525986;-75.228808;70215;COROZAL;9.320684;-75.292023;4625;;;;;
81794;TAME;6.457692;-71.740613;81001;ARAUCA;7.077995;-70.761888;4572;;;;;
23807;TIERRALTA;8.172247;-76.062317;5001;MEDELLÍN;6.248941;-75.577056;4549;;;;;
73001;IBAGUÉ;4.439631;-75.19635;11001;BOGOTÁ, D.C.;4.650528;-74.105972;4501;;;;;
52490;BOCAS DE SATINGA;2.347547;-78.328775;76001;SANTIAGO DE CALI;3.417587;-76.522332;4425;;;;;
95001;SAN JOSÉ DEL GUAVIARE;2.567205;-72.63969;11001;BOGOTÁ, D.C.;4.650528;-74.105972;4411;;;;;
13654;SAN JACINTO;9.830658;-75.121745;13001;CARTAGENA DE INDIAS;10.398816;-75.501229;4403;;;;;
19256;EL TAMBO;2.452236;-76.810812;76001;SANTIAGO DE CALI;3.417587;-76.522332;4401;;;;;
5284;FRONTINO;6.775585;-76.131223;5001;MEDELLÍN;6.248941;-75.577056;4383;;;;;
52079;BARBACOAS;1.673572;-78.138261;76001;SANTIAGO DE CALI;3.417587;-76.522332;4378;;;;;
27250;SANTA GENOVEVA DE DOCORDÓ;4.255196;-77.363855;76109;BUENAVENTURA;3.875474;-77.011536;4375;;;;;
73067;ATACO;3.591165;-75.382454;73001;IBAGUÉ;4.439631;-75.19635;4368;;;;;
