DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct
86.000000,757.000000,SAN MIGUEL,1996.000000,0.000000,0.273017004,-76.84534328,86757.000000,86757.000000,19479.000000,1551.000000,3675.000000,24705.000000
5.000000,1.000000,MEDELLÍN,2010.000000,5.000000,6.248940809,-75.57705563,5001.000000,5001.000000,41118.000000,373898.000000,81812.000000,496828.000000
5.000000,45.000000,APARTADÓ,2006.000000,5.000000,7.882716696,-76.62618597,5045.000000,5045.000000,50771.000000,59418.000000,20960.000000,131149.000000
5.000000,147.000000,CAREPA,2006.000000,5.000000,7.755117031,-76.65405108,5147.000000,5147.000000,13567.000000,24293.000000,5530.000000,43390.000000
5.000000,154.000000,CAUCASIA,2012.000000,5.000000,7.97776037,-75.19851434,5154.000000,5154.000000,17002.000000,15499.000000,3517.000000,36018.000000
5.000000,172.000000,CHIGORODÓ,2012.000000,5.000000,7.66615645,-76.68156472,5172.000000,5172.000000,23021.000000,37304.000000,9159.000000,69484.000000
5.000000,250.000000,EL BAGRE,2012.000000,5.000000,7.592954652,-74.80471043,5250.000000,5250.000000,24328.000000,3547.000000,12593.000000,40468.000000
5.000000,440.000000,MARINILLA,2012.000000,5.000000,6.17354814,-75.33807844,5440.000000,5440.000000,1946.000000,8065.000000,1969.000000,11980.000000
5.000000,615.000000,RIONEGRO,2012.000000,5.000000,6.146220061,-75.37625576,5615.000000,5615.000000,1529.000000,14588.000000,286.000000,16403.000000
5.000000,837.000000,TURBO,2012.000000,5.000000,8.094096738,-76.72643183,5837.000000,5837.000000,72127.000000,53607.000000,56110.000000,181844.000000
5.000000,885.000000,YALÍ,2012.000000,5.000000,6.668252581,-74.84117476,5885.000000,5885.000000,1685.000000,276.000000,162.000000,2123.000000
5.000000,30.000000,AMAGÁ,2011.000000,5.000000,6.035833513,-75.70176247,5030.000000,5030.000000,1696.000000,1150.000000,102.000000,2948.000000
5.000000,31.000000,AMALFI,2011.000000,5.000000,6.907031798,-75.07357702,5031.000000,5031.000000,5295.000000,1855.000000,2216.000000,9366.000000
5.000000,36.000000,ANGELÓPOLIS,2011.000000,5.000000,6.11346482,-75.71517506,5036.000000,5036.000000,1108.000000,323.000000,522.000000,1953.000000
5.000000,93.000000,BETULIA,2011.000000,5.000000,6.109099807,-75.98419075,5093.000000,5093.000000,10703.000000,2393.000000,9314.000000,22410.000000
5.000000,107.000000,BRICEÑO,2011.000000,5.000000,7.112513437,-75.550714,5107.000000,5107.000000,4754.000000,386.000000,1910.000000,7050.000000
5.000000,113.000000,BURITICÁ,2011.000000,5.000000,6.719529795,-75.90713079,5113.000000,5113.000000,2785.000000,210.000000,3873.000000,6868.000000
5.000000,129.000000,CALDAS,2011.000000,5.000000,6.091577847,-75.6344938,5129.000000,5129.000000,1262.000000,3517.000000,145.000000,4924.000000
5.000000,2.000000,ABEJORRAL,2011.000000,5.000000,5.78953996,-75.42892042,5002.000000,5002.000000,6697.000000,798.000000,3292.000000,10787.000000
5.000000,4.000000,ABRIAQUÍ,2011.000000,5.000000,6.633863006,-76.0647528,5004.000000,5004.000000,1384.000000,473.000000,375.000000,2232.000000
5.000000,21.000000,ALEJANDRÍA,2011.000000,5.000000,6.375931814,-75.14132296,5021.000000,5021.000000,3293.000000,694.000000,2923.000000,6910.000000
5.000000,79.000000,BARBOSA,2011.000000,5.000000,6.439060382,-75.33238813,5079.000000,5079.000000,2570.000000,3179.000000,1491.000000,7240.000000
5.000000,88.000000,BELLO,2011.000000,5.000000,6.333785562,-75.55444758,5088.000000,5088.000000,7634.000000,45571.000000,1375.000000,54580.000000
5.000000,55.000000,ARGELIA,2011.000000,5.000000,5.731560894,-75.14271559,5055.000000,5055.000000,12169.000000,1194.000000,11827.000000,25190.000000
5.000000,59.000000,ARMENIA,2011.000000,5.000000,6.156269832,-75.78700688,5059.000000,5059.000000,520.000000,234.000000,71.000000,825.000000
5.000000,86.000000,BELMIRA,2011.000000,5.000000,6.605435886,-75.66683652,5086.000000,5086.000000,532.000000,344.000000,30.000000,906.000000
5.000000,91.000000,BETANIA,2011.000000,5.000000,5.749214259,-75.98176937,5091.000000,5091.000000,2332.000000,849.000000,517.000000,3698.000000
5.000000,101.000000,CIUDAD BOLÍVAR,2011.000000,5.000000,5.851067449,-76.02279586,5101.000000,5101.000000,3815.000000,2069.000000,405.000000,6289.000000
5.000000,120.000000,CÁCERES,2011.000000,5.000000,7.576321581,-75.35010831,5120.000000,5120.000000,12748.000000,3488.000000,5000.000000,21236.000000
5.000000,34.000000,ANDES,2011.000000,5.000000,5.656884695,-75.87925102,5034.000000,5034.000000,3509.000000,2710.000000,456.000000,6675.000000
5.000000,38.000000,ANGOSTURA,2011.000000,5.000000,6.885366193,-75.33494799,5038.000000,5038.000000,2127.000000,331.000000,2037.000000,4495.000000
