type,properties/OD_Pair,properties/OrgLat,properties/OrgLon,properties/DestLat,properties/DestLon,properties/Count,properties/Origin,properties/Dest,properties/OrgMun,properties/DestMun,geometry/type,geometry/coordinates/0/0,geometry/coordinates/0/1,geometry/coordinates/1/0,geometry/coordinates/1/1
Feature,76109-11001,3.875474,-77.011536,4.650528,-74.105972,47340,76109,11001,BUENAVENTURA,"BOGOTÁ, D.C.",LineString,-77.0115358955,3.87547430591,-74.105971599,4.65052840264
Feature,54810-54001,8.639718,-72.735919,7.905267,-72.505591,33314,54810,54001,TIBÚ,CÚCUTA,LineString,-72.7359193716,8.63971770040999,-72.5055909658999,7.905267116589999
Feature,13244-70001,9.718034,-75.121139,9.300455,-75.395996,23896,13244,70001,EL CARMEN DE BOLÍVAR,SINCELEJO,LineString,-75.1211388326999,9.71803422097,-75.3959960643999,9.30045521524
Feature,27615-5837,7.433383,-77.11111,8.094097,-76.726432,23058,27615,5837,RIOSUCIO,TURBO,LineString,-77.111109838,7.43338275367,-76.7264318309999,8.09409673761
Feature,27099-27001,6.569004,-76.895089,5.692349,-76.651125,22835,27099,27001,BELLAVISTA,SAN FRANCISCO DE QUIBDO,LineString,-76.8950894319,6.56900387061,-76.6511246326,5.69234946496
Feature,76109-76001,3.875474,-77.011536,3.417587,-76.522332,19325,76109,76001,BUENAVENTURA,SANTIAGO DE CALI,LineString,-77.0115358955,3.87547430591,-76.5223324663,3.417586541
Feature,47980-47001,10.763895,-74.139233,11.225703,-74.188397,19072,47980,47001,PRADO - SEVILLA,SANTA MARTA,LineString,-74.139232543,10.7638951541,-74.1883970494999,11.2257031418
Feature,19256-19001,2.452236,-76.810812,2.447699,-76.624469,17623,19256,19001,EL TAMBO,POPAYÁN,LineString,-76.8108123080999,2.4522358115,-76.62446903320001,2.4476985537
Feature,5649-5001,6.187976,-74.993002,6.248941,-75.577056,15761,5649,5001,SAN CARLOS,MEDELLÍN,LineString,-74.9930024004,6.18797640745,-75.5770556256999,6.24894080931
Feature,70204-70001,9.490997,-75.356088,9.300455,-75.395996,15534,70204,70001,RICAURTE (COLOSO),SINCELEJO,LineString,-75.3560877468,9.49099729992999,-75.3959960643999,9.30045521524
Feature,5234-5001,7.000034,-76.262974,6.248941,-75.577056,15453,5234,5001,DABEIBA,MEDELLÍN,LineString,-76.2629740973,7.00003402647,-75.5770556256999,6.24894080931
Feature,5045-5001,7.882717,-76.626186,6.248941,-75.577056,15433,5045,5001,APARTADÓ,MEDELLÍN,LineString,-76.6261859722999,7.88271669619,-75.5770556256999,6.24894080931
Feature,5313-5001,6.141374,-75.187973,6.248941,-75.577056,14283,5313,5001,GRANADA,MEDELLÍN,LineString,-75.1879726737,6.1413743323,-75.5770556256999,6.24894080931
Feature,23807-23001,8.172247,-76.062317,8.746423,-75.876635,14081,23807,23001,TIERRALTA,MONTERÍA,LineString,-76.062316628,8.17224654791,-75.8766346495,8.74642258289999
Feature,47189-47001,11.007433,-74.241368,11.225703,-74.188397,13751,47189,47001,CIÉNAGA,SANTA MARTA,LineString,-74.2413680715999,11.0074328252,-74.1883970494999,11.2257031418
Feature,47288-47001,10.514851,-74.191555,11.225703,-74.188397,13675,47288,47001,FUNDACIÓN,SANTA MARTA,LineString,-74.1915550126999,10.5148511979,-74.1883970494999,11.2257031418
Feature,13244-13001,9.718034,-75.121139,10.398816,-75.501229,13671,13244,13001,EL CARMEN DE BOLÍVAR,CARTAGENA DE INDIAS,LineString,-75.1211388326999,9.71803422097,-75.5012292161,10.3988164843999
Feature,47551-47001,10.461344,-74.615396,11.225703,-74.188397,13133,47551,47001,PIVIJAY,SANTA MARTA,LineString,-74.6153957047,10.4613440093999,-74.1883970494999,11.2257031418
